# cmd=/home/david/dev/mricom/bin/blockstim args=design,trig Mricom v0.1
# timestamp=2020-07-05 19:21:44.278826
N_TTL	TIME	N_BLOCK
n	usec	n
0	99	0
1	100132	0
2	200133	0
3	300136	0
4	400134	0
5	500193	0
6	600097	0
7	700114	0
8	800090	0
9	900089	0
10	1000130	0
11	1100105	0
12	1200119	0
13	1300100	0
14	1400096	0
15	1500133	0
16	1600129	0
17	1700098	0
18	1800123	0
19	1900106	0
20	2000099	0
21	2100298	0
22	2200131	0
23	2300114	0
24	2400138	0
25	2500131	0
26	2600128	0
27	2700128	0
28	2800128	0
29	2900130	0
30	3000131	0
31	3100129	0
32	3200132	0
33	3300129	0
34	3400129	0
35	3500130	0
36	3600129	0
37	3700129	0
38	3800129	0
39	3900130	0
40	4000131	0
41	4100129	0
42	4200120	0
43	4300132	0
44	4400133	0
45	4500132	0
46	4600128	0
47	4700129	0
48	4800129	0
49	4900130	0
50	5000131	0
51	5100130	0
52	5200092	0
53	5300135	0
54	5400130	0
55	5500131	0
56	5600133	0
57	5700131	0
58	5800130	0
59	5900132	0
60	6000130	0
61	6100130	0
62	6200201	0
63	6300128	0
64	6400131	0
65	6500130	0
66	6600130	0
67	6700129	0
68	6800130	0
69	6900131	0
70	7000129	0
71	7100130	0
72	7200133	0
73	7300132	0
74	7400129	0
75	7500129	0
76	7600129	0
77	7700128	0
78	7800130	0
79	7900134	0
80	8000131	0
81	8100129	0
82	8200130	0
83	8300130	0
84	8400131	0
85	8500133	0
86	8600128	0
87	8700129	0
88	8800129	0
89	8900130	0
90	9000129	0
91	9100130	0
92	9202069	0
93	9300094	0
94	9400131	0
95	9500131	0
96	9600130	0
97	9700107	0
98	9800104	0
99	9900135	0
