# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-06-18 19:21:09.786924
TIME	RESP	PULSOX	ECG
0.825	-0.185	-0.111	-0.193
0.830	-0.184	-0.109	-0.192
0.835	-0.182	-0.108	-0.191
0.840	-0.181	-0.107	-0.189
0.845	-0.179	-0.105	-0.188
0.850	-0.178	-0.104	-0.187
0.855	-0.177	-0.103	-0.185
0.860	-0.175	-0.101	-0.184
0.865	-0.174	-0.100	-0.182
0.870	-0.173	-0.099	-0.181
0.875	-0.171	-0.097	-0.180
0.880	-0.170	-0.096	-0.178
0.885	-0.168	-0.095	-0.177
0.890	-0.167	-0.093	-0.176
0.895	-0.166	-0.092	-0.175
0.900	-0.165	-0.090	-0.173
0.905	-0.163	-0.089	-0.172
0.910	-0.162	-0.088	-0.170
0.915	-0.161	-0.087	-0.169
0.920	-0.159	-0.085	-0.168
0.925	-0.158	-0.085	-0.167
0.930	-0.158	-0.083	-0.166
0.935	-0.156	-0.082	-0.165
0.940	-0.155	-0.081	-0.163
0.945	-0.153	-0.080	-0.162
0.950	-0.152	-0.078	-0.161
0.955	-0.151	-0.077	-0.160
0.960	-0.150	-0.076	-0.159
0.965	-0.149	-0.075	-0.157
0.970	-0.148	-0.074	-0.156
0.975	-0.146	-0.073	-0.155
0.980	-0.145	-0.071	-0.154
0.985	-0.144	-0.070	-0.153
0.990	-0.143	-0.069	-0.152
0.995	-0.142	-0.069	-0.151
1.000	-0.141	-0.067	-0.150
1.005	-0.140	-0.066	-0.148
1.010	-0.139	-0.065	-0.147
1.015	-0.137	-0.064	-0.146
1.020	-0.137	-0.062	-0.145
1.025	-0.136	-0.062	-0.144
1.030	-0.135	-0.061	-0.143
1.035	-0.133	-0.060	-0.142
1.040	-0.132	-0.059	-0.141
1.045	-0.131	-0.058	-0.140
1.050	-0.130	-0.056	-0.139
1.055	-0.130	-0.056	-0.138
1.060	-0.128	-0.054	-0.137
1.065	-0.127	-0.054	-0.136
1.070	-0.126	-0.053	-0.135
1.075	-0.125	-0.052	-0.134
1.080	-0.124	-0.051	-0.134
1.085	-0.124	-0.049	-0.132
1.090	-0.123	-0.049	-0.131
1.095	-0.121	-0.048	-0.130
1.100	-0.120	-0.047	-0.130
1.105	-0.120	-0.046	-0.129
1.110	-0.119	-0.045	-0.127
1.115	-0.118	-0.044	-0.126
1.120	-0.117	-0.043	-0.126
1.125	-0.116	-0.042	-0.125
1.130	-0.115	-0.041	-0.124
1.135	-0.115	-0.040	-0.123
1.140	-0.114	-0.040	-0.123
1.145	-0.112	-0.039	-0.121
1.150	-0.112	-0.038	-0.120
1.155	-0.111	-0.037	-0.119
1.160	-0.110	-0.036	-0.119
1.165	-0.109	-0.036	-0.118
1.170	-0.108	-0.035	-0.117
1.175	-0.108	-0.034	-0.117
1.180	-0.106	-0.033	-0.116
1.185	-0.106	-0.032	-0.115
1.190	-0.105	-0.031	-0.114
1.195	-0.104	-0.031	-0.113
1.200	-0.103	-0.029	-0.112
1.205	-0.103	-0.029	-0.112
1.210	-0.102	-0.028	-0.111
1.215	-0.101	-0.027	-0.110
1.220	-0.100	-0.027	-0.110
1.225	-0.100	-0.025	-0.108
1.230	-0.099	-0.025	-0.108
1.235	-0.098	-0.024	-0.107
1.240	-0.097	-0.023	-0.107
1.245	-0.096	-0.023	-0.106
1.250	-0.096	-0.022	-0.105
1.255	-0.095	-0.022	-0.104
1.260	-0.094	-0.021	-0.104
1.265	-0.094	-0.020	-0.103
1.270	-0.094	-0.019	-0.102
1.275	-0.092	-0.018	-0.101
1.280	-0.091	-0.018	-0.101
1.285	-0.091	-0.017	-0.100
1.290	-0.090	-0.016	-0.099
1.295	-0.089	-0.015	-0.098
