# cmd=/home/david/dev/mricom/mribg args=NULL Mricom v0.1
# timestamp=2020-06-18 19:21:11.582542

id=s_2020060104
seqnum	sequence	event
0	fsems	
1	epip_whisker_0	blockstim,design,trig
2	epip_resting_0	
3	epip_whisker_1	blockstim,design,trig
