# cmd=test_unit args=NULL Mricom v0.1
# timestamp=2020-06-21 19:12:15.918585
TIME	RESP	PULSOX	ECG
46.68000	-0.00076	0.07279	-0.01083
46.68500	-0.00046	0.07248	-0.01114
46.69000	-0.00046	0.07279	-0.01053
46.69500	-0.00046	0.07218	-0.01053
46.70000	-0.00107	0.07218	-0.01053
46.70500	-0.00137	0.07248	-0.01083
46.71000	-0.00076	0.07248	-0.01022
46.71500	-0.00046	0.07248	-0.01053
46.72000	-0.00076	0.07248	-0.01053
46.72500	-0.00046	0.07218	-0.01083
46.73000	-0.00046	0.07218	-0.01053
46.73500	-0.00015	0.07218	-0.01053
46.74000	-0.00076	0.07218	-0.01053
46.74500	-0.00046	0.07248	-0.01053
46.75000	-0.00107	0.07279	-0.01022
46.75500	-0.00107	0.07279	-0.01053
46.76000	-0.00107	0.07309	-0.01083
46.76500	-0.00046	0.07248	-0.01053
46.77000	-0.00107	0.07248	-0.01022
46.77500	-0.00046	0.07248	-0.01022
46.78000	-0.00046	0.07248	-0.01053
46.78500	-0.00076	0.07248	-0.01053
46.79000	-0.00076	0.07248	-0.01053
46.79500	-0.00076	0.07279	-0.01022
46.80000	-0.00076	0.07248	-0.01083
46.80500	-0.00076	0.07248	-0.01053
46.81000	-0.00076	0.07248	-0.01083
46.81500	-0.00046	0.07279	-0.01083
46.82000	-0.00107	0.07248	-0.01053
46.82500	-0.00015	0.07218	-0.01053
46.83000	-0.00046	0.07248	-0.01022
46.83500	-0.00076	0.07279	-0.01083
46.84000	-0.00076	0.07218	-0.01053
46.84500	-0.00076	0.07279	-0.01053
46.85000	-0.00046	0.07248	-0.01053
46.85500	-0.00076	0.07248	-0.01053
46.86000	-0.00076	0.07248	-0.01083
46.86500	-0.00076	0.07279	-0.01114
46.87000	-0.00046	0.07279	-0.01053
46.87500	-0.00076	0.07218	-0.01114
46.88000	-0.00107	0.07248	-0.01053
46.88500	-0.00046	0.07279	-0.01083
46.89000	-0.00046	0.07218	-0.01053
46.89500	-0.00046	0.07218	-0.01053
46.90000	-0.00046	0.07248	-0.01053
46.90500	-0.00015	0.07218	-0.01053
46.91000	-0.00107	0.07218	-0.01083
46.91500	-0.00076	0.07218	-0.01083
46.92000	-0.00107	0.07279	-0.01083
46.92500	-0.00076	0.07218	-0.01083
46.93000	-0.00046	0.07248	-0.01083
46.93500	-0.00046	0.07279	-0.01083
46.94000	-0.00107	0.07279	-0.01053
46.94500	-0.00107	0.07248	-0.01083
46.95000	-0.00076	0.07248	-0.01053
46.95500	-0.00046	0.07279	-0.01022
46.96000	-0.00137	0.07248	-0.01053
46.96500	-0.00076	0.07279	-0.01022
46.97000	-0.00015	0.07248	-0.01022
46.97500	-0.00046	0.07248	-0.01083
46.98000	-0.00046	0.07248	-0.01083
46.98500	-0.00107	0.07248	-0.01053
46.99000	-0.00076	0.07248	-0.01022
46.99500	-0.00137	0.07279	-0.01053
47.00000	-0.00076	0.07218	-0.01053
47.00500	-0.00076	0.07279	-0.01053
47.01000	-0.00076	0.07248	-0.01053
47.01500	-0.00076	0.07248	-0.01053
47.02000	-0.00076	0.07248	-0.01053
47.02500	-0.00076	0.07279	-0.01083
47.03000	-0.00107	0.07248	-0.01083
47.03500	-0.00076	0.07248	-0.01053
47.04000	-0.00076	0.07248	-0.01022
47.04500	-0.00076	0.07218	-0.01022
47.05000	-0.00107	0.07248	-0.01083
47.05500	-0.00076	0.07248	-0.01022
47.06000	-0.00076	0.07248	-0.01053
47.06500	-0.00076	0.07248	-0.01053
47.07000	-0.00076	0.07248	-0.01083
47.07500	-0.00046	0.07279	-0.01022
47.08000	-0.00046	0.07248	-0.01053
47.08500	-0.00076	0.07248	-0.01053
47.09000	-0.00107	0.07248	-0.01083
47.09500	-0.00076	0.07248	-0.01083
47.10000	-0.00076	0.07218	-0.01114
47.10500	-0.00076	0.07248	-0.01053
47.11000	-0.00046	0.07248	-0.01114
47.11500	-0.00076	0.07248	-0.01083
47.12000	-0.00046	0.07248	-0.01083
47.12500	-0.00076	0.07218	-0.01053
47.13000	-0.00076	0.07248	-0.01083
47.13500	-0.00076	0.07248	-0.01053
47.14000	-0.00107	0.07279	-0.01053
47.14500	-0.00076	0.07248	-0.01083
47.15000	-0.00076	0.07279	-0.01053
47.15500	-0.00076	0.07279	-0.01053
47.16000	-0.00046	0.07248	-0.01022
47.16500	-0.00046	0.07248	-0.01053
47.17000	-0.00046	0.07309	-0.01053
47.17500	-0.00046	0.07248	-0.01053
47.18000	-0.00046	0.07218	-0.01053
47.18500	-0.00046	0.07279	-0.01022
47.19000	-0.00076	0.07279	-0.01083
47.19500	-0.00046	0.07279	-0.00992
47.20000	-0.00046	0.07248	-0.01053
47.20500	-0.00076	0.07279	-0.01114
47.21000	-0.00046	0.07279	-0.01083
47.21500	-0.00076	0.07279	-0.01083
47.22000	-0.00107	0.07279	-0.01083
47.22500	-0.00076	0.07218	-0.01114
47.23000	-0.00046	0.07248	-0.01053
47.23500	-0.00107	0.07218	-0.01053
47.24000	-0.00076	0.07248	-0.01053
47.24500	-0.00076	0.07248	-0.01053
47.25000	-0.00046	0.07218	-0.01053
47.25500	-0.00015	0.07248	-0.01053
47.26000	-0.00107	0.07248	-0.01083
47.26500	-0.00046	0.07248	-0.01083
47.27000	-0.00046	0.07248	-0.01053
47.27500	-0.00046	0.07279	-0.01083
47.28000	-0.00076	0.07187	-0.01053
47.28500	-0.00076	0.07279	-0.01083
47.29000	-0.00107	0.07248	-0.01083
47.29500	-0.00076	0.07248	-0.01083
47.30000	-0.00076	0.07248	-0.01053
47.30500	-0.00076	0.07248	-0.01083
47.31000	-0.00046	0.07248	-0.01053
47.31500	-0.00107	0.07248	-0.01114
47.32000	-0.00076	0.07279	-0.01083
47.32500	-0.00076	0.07248	-0.01083
47.33000	-0.00046	0.07248	-0.01083
47.33500	-0.00046	0.07279	-0.01022
47.34000	-0.00046	0.07248	-0.01022
47.34500	-0.00076	0.07248	-0.00992
47.35000	-0.00076	0.07248	-0.01053
47.35500	-0.00107	0.07248	-0.01053
47.36000	-0.00076	0.07248	-0.01083
47.36500	-0.00076	0.07279	-0.00992
47.37000	-0.00076	0.07279	-0.01053
47.37500	-0.00107	0.07279	-0.01083
47.38000	-0.00076	0.07248	-0.01053
47.38500	-0.00076	0.07248	-0.01053
47.39000	-0.00076	0.07218	-0.01053
47.39500	-0.00076	0.07248	-0.01083
47.40000	-0.00076	0.07279	-0.01053
47.40500	-0.00046	0.07279	-0.01083
47.41000	-0.00046	0.07248	-0.01053
47.41500	-0.00046	0.07248	-0.01083
47.42000	-0.00076	0.07248	-0.01083
47.42500	-0.00046	0.07248	-0.01022
47.43000	-0.00076	0.07279	-0.01053
47.43500	-0.00137	0.07248	-0.01053
47.44000	-0.00137	0.07309	-0.01083
47.44500	-0.00107	0.07309	-0.01053
47.45000	-0.00046	0.07279	-0.01022
47.45500	-0.00046	0.07279	-0.01114
47.46000	-0.00076	0.07218	-0.01083
47.46500	-0.00046	0.07279	-0.01083
47.47000	-0.00046	0.07248	-0.01053
47.47500	-0.00107	0.07248	-0.01083
47.48000	-0.00046	0.07218	-0.01053
47.48500	-0.00076	0.07218	-0.01083
47.49000	-0.00076	0.07279	-0.01053
47.49500	-0.00076	0.07218	-0.01083
47.50000	-0.00076	0.07279	-0.01083
47.50500	-0.00046	0.07218	-0.01053
47.51000	-0.00046	0.07279	-0.01022
47.51500	-0.00076	0.07279	-0.01083
47.52000	-0.00076	0.07279	-0.01053
47.52500	-0.00076	0.07248	-0.01053
47.53000	-0.00107	0.07279	-0.01053
47.53500	-0.00076	0.07279	-0.01083
47.54000	-0.00076	0.07279	-0.01083
47.54500	-0.00046	0.07279	-0.01053
47.55000	-0.00107	0.07248	-0.01022
47.55500	-0.00076	0.07279	-0.01083
47.56000	-0.00046	0.07248	-0.01083
47.56500	-0.00046	0.07248	-0.01053
47.57000	-0.00076	0.07248	-0.01053
47.57500	-0.00107	0.07309	-0.01083
47.58000	-0.00076	0.07248	-0.01053
47.58500	-0.00046	0.07218	-0.01022
47.59000	0.00015	0.07279	-0.01053
47.59500	-0.00076	0.07218	-0.01083
47.60000	-0.00076	0.07279	-0.01022
