# cmd=./analogdaq args=NULL Mricom v0.1
# timestamp=2020-05-06 21:04:09.509078
TIME	PULSOX	ECG	TEMP
0.850	-0.026	0.050	-0.030
0.855	-0.025	0.050	-0.029
0.860	-0.025	0.050	-0.030
0.865	-0.025	0.051	-0.029
0.870	-0.024	0.052	-0.029
0.875	-0.024	0.051	-0.029
0.880	-0.024	0.051	-0.029
0.885	-0.023	0.052	-0.028
0.890	-0.023	0.053	-0.028
0.895	-0.022	0.052	-0.027
0.900	-0.022	0.053	-0.027
0.905	-0.022	0.053	-0.027
0.910	-0.022	0.054	-0.026
0.915	-0.021	0.054	-0.026
0.920	-0.021	0.054	-0.026
0.925	-0.021	0.054	-0.026
0.930	-0.020	0.055	-0.025
0.935	-0.020	0.055	-0.025
0.940	-0.020	0.055	-0.025
0.945	-0.020	0.056	-0.025
0.950	-0.019	0.056	-0.024
0.955	-0.019	0.057	-0.024
0.960	-0.019	0.057	-0.024
0.965	-0.019	0.057	-0.024
0.970	-0.018	0.057	-0.023
0.975	-0.018	0.058	-0.023
0.980	-0.018	0.058	-0.023
0.985	-0.017	0.058	-0.022
0.990	-0.017	0.058	-0.022
0.995	-0.017	0.059	-0.022
1.000	-0.016	0.058	-0.022
1.005	-0.016	0.059	-0.022
1.010	-0.016	0.059	-0.021
1.015	-0.016	0.060	-0.021
1.020	-0.015	0.060	-0.021
1.025	-0.015	0.060	-0.021
1.030	-0.014	0.061	-0.020
1.035	-0.014	0.061	-0.020
1.040	-0.013	0.061	-0.020
1.045	-0.013	0.061	-0.019
1.050	-0.013	0.062	-0.019
1.055	-0.013	0.062	-0.018
1.060	-0.012	0.062	-0.018
1.065	-0.013	0.062	-0.018
1.070	-0.012	0.063	-0.018
1.075	-0.012	0.064	-0.018
1.080	-0.011	0.063	-0.018
1.085	-0.011	0.064	-0.017
1.090	-0.011	0.064	-0.017
1.095	-0.011	0.064	-0.017
1.100	-0.010	0.064	-0.017
1.105	-0.011	0.064	-0.017
1.110	-0.010	0.065	-0.016
1.115	-0.010	0.065	-0.016
1.120	-0.010	0.065	-0.016
1.125	-0.010	0.065	-0.016
1.130	-0.010	0.065	-0.016
1.135	-0.010	0.065	-0.015
1.140	-0.010	0.065	-0.015
1.145	-0.010	0.065	-0.016
1.150	-0.010	0.065	-0.015
1.155	-0.009	0.065	-0.015
1.160	-0.010	0.065	-0.016
1.165	-0.010	0.065	-0.015
1.170	-0.010	0.066	-0.016
1.175	-0.009	0.065	-0.015
1.180	-0.009	0.065	-0.015
1.185	-0.010	0.065	-0.015
1.190	-0.009	0.066	-0.015
1.195	-0.009	0.065	-0.015
1.200	-0.009	0.065	-0.015
1.205	-0.008	0.066	-0.015
1.210	-0.008	0.067	-0.015
1.215	-0.008	0.067	-0.014
1.220	-0.007	0.067	-0.014
1.225	-0.007	0.067	-0.014
1.230	-0.007	0.068	-0.013
1.235	-0.006	0.068	-0.013
1.240	-0.006	0.069	-0.014
1.245	-0.005	0.069	-0.012
1.250	-0.005	0.070	-0.012
1.255	-0.004	0.070	-0.012
1.260	-0.005	0.070	-0.012
1.265	-0.004	0.070	-0.012
1.270	-0.004	0.071	-0.012
1.275	-0.004	0.071	-0.011
1.280	-0.004	0.071	-0.011
1.285	-0.004	0.071	-0.011
1.290	-0.003	0.072	-0.011
1.295	-0.003	0.071	-0.011
1.300	-0.004	0.072	-0.011
1.305	-0.003	0.071	-0.011
1.310	-0.003	0.072	-0.010
1.315	-0.003	0.072	-0.010
1.320	-0.003	0.072	-0.010
1.325	-0.003	0.072	-0.010
1.330	-0.002	0.072	-0.009
1.335	-0.003	0.072	-0.010
1.340	-0.003	0.072	-0.010
1.345	-0.003	0.072	-0.010
1.350	-0.003	0.072	-0.010
1.355	-0.002	0.072	-0.009
1.360	-0.003	0.072	-0.010
1.365	-0.003	0.072	-0.010
1.370	-0.003	0.072	-0.010
1.375	-0.002	0.072	-0.009
1.380	-0.003	0.072	-0.010
1.385	-0.003	0.072	-0.010
1.390	-0.003	0.072	-0.010
1.395	-0.003	0.072	-0.010
1.400	-0.003	0.072	-0.010
1.405	-0.003	0.071	-0.010
1.410	-0.003	0.071	-0.010
1.415	-0.004	0.071	-0.010
1.420	-0.004	0.071	-0.010
1.425	-0.004	0.070	-0.011
1.430	-0.004	0.070	-0.011
1.435	-0.004	0.070	-0.011
1.440	-0.004	0.070	-0.011
1.445	-0.004	0.070	-0.011
1.450	-0.004	0.071	-0.011
1.455	-0.004	0.071	-0.011
1.460	-0.004	0.070	-0.011
1.465	-0.004	0.070	-0.011
1.470	-0.004	0.071	-0.011
1.475	-0.004	0.071	-0.011
1.480	-0.004	0.071	-0.011
1.485	-0.004	0.071	-0.011
1.490	-0.003	0.071	-0.011
1.495	-0.003	0.071	-0.011
1.500	-0.003	0.071	-0.011
1.505	-0.003	0.071	-0.010
1.510	-0.002	0.072	-0.010
1.515	-0.002	0.072	-0.010
1.520	-0.002	0.072	-0.010
1.525	-0.002	0.072	-0.010
1.530	-0.002	0.073	-0.010
1.535	-0.002	0.072	-0.010
1.540	-0.002	0.072	-0.010
1.545	-0.002	0.072	-0.010
1.550	-0.001	0.073	-0.010
1.555	-0.001	0.073	-0.009
1.560	-0.001	0.073	-0.010
1.565	-0.002	0.072	-0.009
1.570	-0.001	0.073	-0.009
1.575	-0.001	0.073	-0.009
1.580	-0.001	0.073	-0.009
1.585	-0.001	0.073	-0.009
1.590	-0.001	0.073	-0.009
1.595	-0.001	0.073	-0.009
1.600	-0.001	0.073	-0.009
1.605	-0.001	0.073	-0.009
1.610	-0.001	0.073	-0.009
1.615	-0.001	0.074	-0.009
1.620	-0.001	0.073	-0.009
1.625	-0.001	0.074	-0.008
1.630	-0.001	0.074	-0.009
1.635	-0.001	0.073	-0.009
1.640	-0.001	0.073	-0.009
1.645	-0.001	0.073	-0.008
1.650	-0.001	0.074	-0.009
1.655	-0.000	0.073	-0.009
1.660	-0.001	0.073	-0.008
1.665	-0.000	0.073	-0.009
1.670	-0.001	0.074	-0.008
1.675	-0.001	0.074	-0.008
1.680	-0.001	0.074	-0.009
1.685	-0.001	0.074	-0.008
1.690	-0.000	0.074	-0.009
1.695	-0.000	0.075	-0.008
1.700	0.000	0.074	-0.008
1.705	-0.001	0.074	-0.009
1.710	-0.001	0.074	-0.008
1.715	0.000	0.075	-0.009
1.720	-0.001	0.074	-0.008
1.725	-0.000	0.074	-0.008
1.730	-0.000	0.074	-0.008
1.735	-0.000	0.074	-0.008
1.740	-0.000	0.074	-0.008
1.745	0.000	0.074	-0.008
1.750	0.000	0.075	-0.008
1.755	0.000	0.075	-0.008
1.760	0.000	0.074	-0.008
1.765	-0.000	0.074	-0.008
1.770	0.000	0.075	-0.008
1.775	0.000	0.075	-0.008
1.780	0.000	0.075	-0.007
1.785	0.001	0.075	-0.007
1.790	0.001	0.076	-0.007
1.795	0.001	0.075	-0.008
1.800	0.000	0.075	-0.008
1.805	0.000	0.075	-0.008
1.810	0.001	0.075	-0.008
1.815	0.001	0.075	-0.007
1.820	0.000	0.074	-0.008
1.825	-0.000	0.074	-0.008
1.830	0.000	0.075	-0.008
1.835	0.000	0.075	-0.008
1.840	-0.000	0.074	-0.008
1.845	-0.000	0.074	-0.008
1.850	0.000	0.075	-0.008
1.855	0.000	0.074	-0.007
1.860	-0.000	0.074	-0.008
1.865	0.000	0.075	-0.008
1.870	0.001	0.075	-0.008
1.875	0.000	0.075	-0.007
1.880	0.000	0.075	-0.008
1.885	0.001	0.075	-0.007
1.890	0.002	0.075	-0.007
1.895	0.002	0.075	-0.007
1.900	0.001	0.076	-0.007
1.905	0.001	0.075	-0.007
1.910	0.001	0.076	-0.007
1.915	0.002	0.076	-0.007
1.920	0.001	0.076	-0.007
1.925	0.001	0.076	-0.007
1.930	0.002	0.076	-0.007
1.935	0.002	0.076	-0.007
1.940	0.001	0.076	-0.007
1.945	0.001	0.076	-0.007
1.950	0.001	0.076	-0.007
1.955	0.001	0.076	-0.007
1.960	0.001	0.076	-0.007
1.965	0.001	0.076	-0.007
1.970	0.001	0.076	-0.007
1.975	0.001	0.076	-0.007
1.980	0.001	0.076	-0.007
1.985	0.001	0.076	-0.007
1.990	0.002	0.076	-0.007
1.995	0.001	0.076	-0.007
2.000	0.001	0.076	-0.007
2.005	0.001	0.076	-0.007
2.010	0.001	0.076	-0.007
2.015	0.001	0.076	-0.007
2.020	0.001	0.075	-0.007
2.025	0.000	0.075	-0.007
2.030	0.001	0.075	-0.007
2.035	0.001	0.075	-0.007
2.040	0.000	0.075	-0.007
2.045	0.000	0.075	-0.007
2.050	0.001	0.075	-0.008
2.055	0.000	0.075	-0.008
2.060	0.000	0.075	-0.007
2.065	-0.000	0.075	-0.008
2.070	0.000	0.075	-0.008
2.075	0.000	0.075	-0.008
2.080	-0.000	0.074	-0.009
2.085	-0.001	0.074	-0.008
2.090	-0.001	0.074	-0.008
2.095	-0.000	0.073	-0.008
2.100	-0.001	0.073	-0.009
2.105	-0.001	0.072	-0.009
2.110	-0.001	0.072	-0.010
2.115	-0.001	0.072	-0.009
2.120	-0.001	0.072	-0.010
2.125	-0.002	0.072	-0.010
2.130	-0.002	0.072	-0.010
2.135	-0.001	0.072	-0.010
2.140	-0.002	0.072	-0.010
2.145	-0.002	0.072	-0.010
2.150	-0.001	0.072	-0.010
2.155	-0.001	0.072	-0.010
2.160	-0.002	0.072	-0.010
2.165	-0.001	0.072	-0.010
2.170	-0.001	0.072	-0.010
2.175	-0.001	0.072	-0.010
2.180	-0.002	0.072	-0.010
2.185	-0.001	0.072	-0.010
2.190	-0.001	0.072	-0.010
2.195	-0.002	0.073	-0.010
2.200	-0.001	0.072	-0.010
2.205	-0.001	0.073	-0.010
2.210	-0.000	0.073	-0.010
2.215	-0.000	0.073	-0.009
2.220	-0.001	0.073	-0.010
2.225	-0.001	0.073	-0.010
2.230	-0.000	0.073	-0.009
2.235	-0.000	0.074	-0.010
2.240	-0.000	0.073	-0.010
2.245	-0.001	0.073	-0.010
2.250	-0.001	0.073	-0.010
2.255	-0.001	0.073	-0.009
2.260	-0.001	0.073	-0.010
2.265	-0.001	0.073	-0.010
2.270	-0.001	0.073	-0.010
2.275	-0.001	0.073	-0.009
2.280	-0.001	0.073	-0.010
2.285	-0.002	0.072	-0.010
2.290	-0.001	0.073	-0.010
2.295	-0.001	0.073	-0.010
2.300	-0.001	0.072	-0.010
2.305	-0.002	0.072	-0.010
2.310	-0.002	0.072	-0.010
2.315	-0.002	0.072	-0.010
2.320	-0.002	0.072	-0.011
2.325	-0.001	0.072	-0.010
2.330	-0.002	0.072	-0.011
2.335	-0.002	0.072	-0.010
2.340	-0.002	0.072	-0.011
2.345	-0.002	0.072	-0.011
2.350	-0.002	0.072	-0.011
2.355	-0.002	0.072	-0.011
2.360	-0.002	0.072	-0.011
2.365	-0.003	0.072	-0.011
2.370	-0.002	0.072	-0.011
2.375	-0.002	0.072	-0.010
2.380	-0.002	0.072	-0.011
2.385	-0.002	0.071	-0.011
2.390	-0.002	0.072	-0.011
2.395	-0.002	0.072	-0.011
2.400	-0.002	0.072	-0.011
2.405	-0.002	0.072	-0.011
2.410	-0.002	0.072	-0.011
2.415	-0.002	0.072	-0.011
2.420	-0.002	0.071	-0.011
2.425	-0.002	0.072	-0.011
2.430	-0.002	0.072	-0.011
2.435	-0.002	0.072	-0.011
2.440	-0.002	0.072	-0.011
2.445	-0.002	0.072	-0.011
2.450	-0.002	0.072	-0.011
2.455	-0.002	0.072	-0.011
2.460	-0.002	0.072	-0.011
2.465	-0.002	0.071	-0.011
2.470	-0.003	0.072	-0.011
2.475	-0.002	0.072	-0.011
2.480	-0.002	0.071	-0.011
2.485	-0.002	0.072	-0.011
2.490	-0.002	0.072	-0.011
2.495	-0.001	0.072	-0.011
2.500	-0.002	0.072	-0.011
2.505	-0.002	0.072	-0.011
2.510	-0.002	0.072	-0.011
2.515	-0.002	0.072	-0.011
2.520	-0.002	0.071	-0.011
2.525	-0.002	0.072	-0.011
2.530	-0.002	0.072	-0.011
2.535	-0.002	0.072	-0.011
2.540	-0.002	0.072	-0.011
2.545	-0.003	0.072	-0.011
