# cmd=./analogdaq args=NULL Mricom v0.1
# timestamp=2020-05-06 21:04:09.509078
TIME	PULSOX	ECG	TEMP
3.830	-0.005	0.069	-0.014
3.835	-0.005	0.069	-0.014
3.840	-0.005	0.069	-0.014
3.845	-0.005	0.069	-0.014
3.850	-0.005	0.069	-0.014
3.855	-0.005	0.069	-0.014
3.860	-0.005	0.069	-0.014
3.865	-0.005	0.069	-0.014
3.870	-0.005	0.069	-0.014
3.875	-0.005	0.069	-0.014
3.880	-0.005	0.069	-0.014
3.885	-0.005	0.068	-0.014
3.890	-0.005	0.069	-0.014
3.895	-0.005	0.069	-0.014
3.900	-0.005	0.069	-0.014
3.905	-0.005	0.069	-0.014
3.910	-0.005	0.069	-0.014
3.915	-0.005	0.069	-0.014
3.920	-0.005	0.068	-0.015
3.925	-0.006	0.069	-0.014
3.930	-0.005	0.069	-0.015
3.935	-0.005	0.068	-0.014
3.940	-0.005	0.069	-0.014
3.945	-0.005	0.069	-0.014
3.950	-0.005	0.069	-0.015
3.955	-0.005	0.069	-0.014
3.960	-0.005	0.068	-0.014
3.965	-0.005	0.069	-0.015
3.970	-0.005	0.069	-0.014
3.975	-0.005	0.069	-0.014
3.980	-0.005	0.069	-0.014
3.985	-0.005	0.068	-0.015
3.990	-0.006	0.069	-0.014
3.995	-0.005	0.069	-0.015
4.000	-0.005	0.069	-0.014
4.005	-0.005	0.068	-0.015
4.010	-0.005	0.069	-0.014
4.015	-0.005	0.069	-0.014
4.020	-0.005	0.069	-0.014
4.025	-0.005	0.068	-0.014
4.030	-0.006	0.069	-0.014
4.035	-0.005	0.069	-0.015
4.040	-0.005	0.068	-0.015
4.045	-0.006	0.068	-0.014
4.050	-0.005	0.069	-0.014
4.055	-0.005	0.069	-0.014
4.060	-0.005	0.068	-0.014
4.065	-0.005	0.068	-0.015
4.070	-0.005	0.069	-0.014
4.075	-0.006	0.068	-0.014
4.080	-0.005	0.068	-0.015
4.085	-0.005	0.069	-0.014
4.090	-0.006	0.069	-0.014
4.095	-0.005	0.069	-0.014
4.100	-0.006	0.068	-0.015
4.105	-0.006	0.068	-0.014
4.110	-0.005	0.069	-0.014
4.115	-0.005	0.068	-0.014
4.120	-0.005	0.069	-0.014
4.125	-0.005	0.068	-0.015
4.130	-0.006	0.069	-0.014
4.135	-0.005	0.069	-0.015
4.140	-0.005	0.069	-0.014
4.145	-0.006	0.069	-0.015
4.150	-0.006	0.068	-0.015
4.155	-0.005	0.068	-0.014
4.160	-0.006	0.068	-0.014
4.165	-0.005	0.068	-0.015
4.170	-0.005	0.069	-0.014
4.175	-0.006	0.068	-0.014
4.180	-0.006	0.068	-0.014
4.185	-0.005	0.069	-0.015
4.190	-0.006	0.069	-0.015
4.195	-0.005	0.069	-0.015
4.200	-0.006	0.068	-0.015
4.205	-0.006	0.068	-0.015
4.210	-0.005	0.069	-0.015
4.215	-0.005	0.068	-0.015
4.220	-0.006	0.068	-0.015
4.225	-0.006	0.068	-0.015
4.230	-0.006	0.069	-0.015
4.235	-0.005	0.069	-0.014
4.240	-0.006	0.068	-0.015
4.245	-0.005	0.068	-0.015
4.250	-0.006	0.068	-0.015
4.255	-0.005	0.068	-0.015
4.260	-0.006	0.068	-0.015
4.265	-0.006	0.068	-0.015
4.270	-0.005	0.069	-0.014
4.275	-0.005	0.069	-0.014
4.280	-0.006	0.068	-0.015
4.285	-0.006	0.068	-0.015
4.290	-0.006	0.068	-0.015
4.295	-0.005	0.068	-0.015
4.300	-0.006	0.068	-0.015
4.305	-0.006	0.068	-0.015
4.310	-0.006	0.068	-0.014
4.315	-0.006	0.068	-0.014
4.320	-0.005	0.068	-0.015
4.325	-0.006	0.068	-0.015
4.330	-0.005	0.068	-0.015
4.335	-0.006	0.068	-0.014
4.340	-0.005	0.068	-0.015
4.345	-0.006	0.068	-0.015
4.350	-0.006	0.068	-0.015
4.355	-0.005	0.068	-0.015
4.360	-0.006	0.068	-0.015
4.365	-0.006	0.068	-0.014
4.370	-0.005	0.068	-0.014
4.375	-0.006	0.068	-0.015
4.380	-0.006	0.068	-0.015
4.385	-0.006	0.068	-0.015
4.390	-0.006	0.068	-0.015
4.395	-0.006	0.068	-0.015
4.400	-0.006	0.068	-0.015
4.405	-0.006	0.068	-0.015
4.410	-0.006	0.069	-0.015
4.415	-0.006	0.069	-0.015
4.420	-0.006	0.068	-0.015
4.425	-0.006	0.068	-0.015
4.430	-0.006	0.068	-0.015
4.435	-0.006	0.069	-0.015
4.440	-0.006	0.068	-0.015
4.445	-0.006	0.068	-0.015
4.450	-0.006	0.068	-0.015
4.455	-0.006	0.068	-0.015
4.460	-0.006	0.068	-0.015
4.465	-0.006	0.068	-0.014
4.470	-0.006	0.068	-0.015
4.475	-0.006	0.068	-0.015
4.480	-0.006	0.068	-0.015
4.485	-0.006	0.068	-0.015
4.490	-0.006	0.069	-0.015
4.495	-0.006	0.068	-0.015
4.500	-0.006	0.068	-0.014
4.505	-0.006	0.068	-0.015
4.510	-0.006	0.068	-0.015
4.515	-0.006	0.068	-0.015
4.520	-0.006	0.068	-0.015
4.525	-0.006	0.068	-0.015
4.530	-0.006	0.068	-0.015
4.535	-0.006	0.068	-0.015
4.540	-0.006	0.068	-0.015
4.545	-0.006	0.068	-0.015
4.550	-0.005	0.068	-0.015
4.555	-0.006	0.068	-0.015
4.560	-0.006	0.068	-0.015
4.565	-0.006	0.068	-0.015
4.570	-0.006	0.068	-0.015
4.575	-0.006	0.068	-0.015
4.580	-0.006	0.068	-0.015
4.585	-0.006	0.068	-0.015
4.590	-0.006	0.068	-0.015
4.595	-0.006	0.068	-0.015
4.600	-0.006	0.067	-0.015
4.605	-0.006	0.068	-0.015
4.610	-0.006	0.068	-0.015
4.615	-0.006	0.068	-0.015
4.620	-0.006	0.068	-0.015
4.625	-0.006	0.068	-0.015
4.630	-0.006	0.068	-0.015
4.635	-0.006	0.068	-0.015
4.640	-0.006	0.068	-0.015
4.645	-0.006	0.068	-0.015
4.650	-0.006	0.068	-0.015
4.655	-0.006	0.068	-0.015
4.660	-0.006	0.068	-0.015
4.665	-0.006	0.068	-0.015
4.670	-0.005	0.068	-0.015
4.675	-0.006	0.068	-0.015
4.680	-0.006	0.068	-0.015
4.685	-0.006	0.068	-0.015
4.690	-0.006	0.068	-0.015
4.695	-0.006	0.068	-0.015
4.700	-0.006	0.068	-0.015
4.705	-0.006	0.068	-0.015
4.710	-0.006	0.068	-0.015
4.715	-0.006	0.068	-0.015
4.720	-0.006	0.068	-0.015
4.725	-0.006	0.067	-0.015
4.730	-0.005	0.068	-0.015
4.735	-0.005	0.068	-0.015
4.740	-0.006	0.068	-0.015
4.745	-0.006	0.068	-0.015
4.750	-0.006	0.068	-0.015
4.755	-0.006	0.068	-0.015
4.760	-0.006	0.068	-0.015
4.765	-0.006	0.068	-0.015
4.770	-0.007	0.068	-0.015
4.775	-0.006	0.068	-0.015
4.780	-0.006	0.068	-0.015
4.785	-0.006	0.068	-0.015
4.790	-0.006	0.068	-0.015
4.795	-0.006	0.068	-0.015
4.800	-0.006	0.068	-0.015
4.805	-0.007	0.068	-0.016
4.810	-0.006	0.068	-0.015
4.815	-0.006	0.068	-0.015
4.820	-0.006	0.068	-0.016
4.825	-0.006	0.068	-0.016
4.830	-0.006	0.068	-0.015
4.835	-0.006	0.068	-0.015
4.840	-0.006	0.068	-0.015
4.845	-0.007	0.068	-0.015
4.850	-0.006	0.068	-0.015
4.855	-0.006	0.068	-0.015
4.860	-0.006	0.068	-0.016
4.865	-0.006	0.067	-0.015
4.870	-0.006	0.068	-0.015
4.875	-0.006	0.068	-0.016
4.880	-0.006	0.068	-0.015
4.885	-0.006	0.068	-0.016
4.890	-0.006	0.068	-0.015
4.895	-0.006	0.068	-0.015
4.900	-0.006	0.068	-0.015
4.905	-0.007	0.068	-0.015
4.910	-0.006	0.068	-0.015
4.915	-0.006	0.068	-0.015
4.920	-0.006	0.068	-0.015
4.925	-0.006	0.067	-0.015
4.930	-0.006	0.068	-0.016
4.935	-0.006	0.068	-0.015
4.940	-0.006	0.068	-0.015
4.945	-0.007	0.068	-0.015
4.950	-0.007	0.068	-0.015
4.955	-0.006	0.068	-0.015
4.960	-0.006	0.068	-0.015
4.965	-0.006	0.068	-0.016
4.970	-0.006	0.068	-0.016
4.975	-0.006	0.068	-0.015
4.980	-0.006	0.068	-0.015
4.985	-0.006	0.068	-0.015
4.990	-0.006	0.068	-0.015
4.995	-0.006	0.068	-0.015
5.000	-0.006	0.068	-0.015
