# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-08-06 17:01:58.823237
TIME	RESP	PULSOX	ECG
1.56000	0.15579	0.22873	0.14542
1.57000	0.15457	0.22721	0.14420
1.58000	0.15335	0.22629	0.14328
1.59000	0.15183	0.22446	0.14145
1.60000	0.15030	0.22354	0.14084
1.61000	0.14878	0.22202	0.13901
1.62000	0.14847	0.22110	0.13779
1.63000	0.14694	0.21988	0.13657
1.64000	0.14542	0.21866	0.13504
1.65000	0.14389	0.21744	0.13413
1.66000	0.14298	0.21592	0.13291
1.67000	0.14176	0.21439	0.13169
1.68000	0.14054	0.21347	0.13046
1.69000	0.13931	0.21225	0.12924
1.70000	0.13809	0.21134	0.12833
1.71000	0.13687	0.21042	0.12711
1.72000	0.13626	0.20890	0.12680
1.73000	0.13504	0.20768	0.12467
1.74000	0.13382	0.20615	0.12314
1.75000	0.13199	0.20554	0.12222
1.76000	0.13138	0.20401	0.12161
1.77000	0.13016	0.20310	0.12009
1.78000	0.12894	0.20249	0.11917
1.79000	0.12772	0.20127	0.11826
1.80000	0.12650	0.19944	0.11704
1.81000	0.12589	0.19944	0.11643
1.82000	0.12467	0.19760	0.11521
1.83000	0.12345	0.19669	0.11460
1.84000	0.12253	0.19547	0.11276
1.85000	0.12131	0.19455	0.11185
1.86000	0.12070	0.19394	0.11063
1.87000	0.11887	0.19272	0.11002
1.88000	0.11856	0.19211	0.10849
1.89000	0.11704	0.19028	0.10758
1.90000	0.11673	0.18936	0.10666
1.91000	0.11521	0.18875	0.10544
1.92000	0.11460	0.18784	0.10483
1.93000	0.11337	0.18723	0.10391
1.94000	0.11215	0.18570	0.10269
1.95000	0.11185	0.18479	0.10208
1.96000	0.11032	0.18387	0.10086
1.97000	0.10941	0.18265	0.10025
1.98000	0.10849	0.18235	0.09934
1.99000	0.10727	0.18112	0.09812
2.00000	0.10666	0.18021	0.09781
2.01000	0.10544	0.17929	0.09598
2.02000	0.10483	0.17838	0.09567
2.03000	0.10422	0.17746	0.09476
2.04000	0.10300	0.17655	0.09323
